location_id,country,event_type,indicator_name,year,annual_value,value_source,caveat
af_herat,Afghanistan,Drought,annual_event_count,2021,4.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Drought,annual_event_count,2022,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Drought,annual_event_count,2023,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Drought,annual_event_count,2024,2.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Drought,annual_event_count,2025,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Flood,annual_event_count,2021,0.0,filled_missing_year_as_zero,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Flood,annual_event_count,2022,3.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Flood,annual_event_count,2023,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Flood,annual_event_count,2024,5.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Flood,annual_event_count,2025,2.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Heatwave,annual_event_count,2021,5.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Heatwave,annual_event_count,2022,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Heatwave,annual_event_count,2023,4.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Heatwave,annual_event_count,2024,3.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Heatwave,annual_event_count,2025,5.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Rainfall,annual_event_count,2021,4.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Rainfall,annual_event_count,2022,7.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Rainfall,annual_event_count,2023,4.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Rainfall,annual_event_count,2024,7.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Rainfall,annual_event_count,2025,6.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Storm,annual_event_count,2021,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Storm,annual_event_count,2022,2.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Storm,annual_event_count,2023,2.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Storm,annual_event_count,2024,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Storm,annual_event_count,2025,3.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Temperature,annual_event_count,2021,39.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Temperature,annual_event_count,2022,34.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Temperature,annual_event_count,2023,28.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Temperature,annual_event_count,2024,40.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Temperature,annual_event_count,2025,25.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Wind,annual_event_count,2021,17.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Wind,annual_event_count,2022,21.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Wind,annual_event_count,2023,18.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Wind,annual_event_count,2024,12.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_herat,Afghanistan,Wind,annual_event_count,2025,10.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Drought,annual_event_count,2021,2.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Drought,annual_event_count,2022,2.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Drought,annual_event_count,2023,3.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Drought,annual_event_count,2024,0.0,filled_missing_year_as_zero,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Drought,annual_event_count,2025,3.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Flood,annual_event_count,2021,4.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Flood,annual_event_count,2022,5.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Flood,annual_event_count,2023,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Flood,annual_event_count,2024,4.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Flood,annual_event_count,2025,1.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Heatwave,annual_event_count,2021,3.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Heatwave,annual_event_count,2022,4.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Heatwave,annual_event_count,2023,5.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
af_jalalabad,Afghanistan,Heatwave,annual_event_count,2024,3.0,Climate Indicator node,Observed pattern within the 2021-2025 dataset only; this is not long-term climate attribution.
